t,A,E,RA,RI,R,Q,U,X,M_or_V,total_prot,a,e,r,q,x
20.3734130392468,18.6510714455943,27.3370341766919,17.0292395718421,161.802060946323,178.831300518165,164.334667755886,0,40.8336669389714,429.987740835308,411.336669389714,0.0433758213882147,0.0635763106259404,0.415898602529369,0.382184541904948,0.0949647235515287
20.3906085444278,18.7215884120341,27.4424213337354,17.0815498235929,162.440382047875,179.521931871468,164.971482564163,0,40.9928706410407,431.650294822441,412.928706410407,0.0433721200624576,0.0635755880695594,0.415896696990128,0.382187813938651,0.0949677809392047
20.4045179842892,18.7816619974862,27.5279005168177,17.1511063801929,162.930074870346,180.081181250538,165.487265413885,0,41.1218163534712,432.999825532199,414.218163534712,0.0433756802890202,0.063574853599498,0.415892041132352,0.382187833933848,0.0949695910452818
20.4184274241506,18.840944997442,27.6136761077307,17.2115518992788,163.431079714871,180.64263161415,166.005046177505,0,41.2512615443762,434.353560441204,415.512615443762,0.043376978372881,0.0635741907575974,0.415888456009566,0.382188754269406,0.0949716205905492
20.4323368640121,18.8988332474819,27.6997640471835,17.2571064957606,163.949468804669,181.206575300429,166.52507147809,0,41.3812678695225,435.711511942707,416.812678695225,0.0433746475121065,0.0635736336726071,0.415886590860277,0.382191121679583,0.0949740062754272
20.4462463038735,18.9571262594707,27.7861193287984,17.3049585886076,164.46720716337,181.772165751977,167.046628064621,0,41.5116570161552,437.073696421022,418.116570161552,0.0433728371546974,0.0635730760197309,0.415884477241295,0.382193276402771,0.0949763331815054
20.4591522871121,19.0126461635024,27.8664575667564,17.3616333886709,164.936290670356,182.297924059027,167.531505300627,0,41.6328763251567,438.341409415069,419.328763251567,0.0433740590214218,0.0635724961598811,0.415881137723878,0.382194111033644,0.0949781960611761
20.4720582703507,19.067954418629,27.9470419665242,17.4149203939466,165.41045444382,182.825374837766,168.017933443433,0,41.7544833608581,439.61278802721,420.544833608581,0.0433744307216304,0.0635719495147953,0.415878199672504,0.382195281892102,0.0949801381989682
20.4849642535894,19.12289029165,28.0278773012682,17.4632776391194,165.891321309754,183.354598948873,168.505981000113,0,41.8764952500283,440.887842791933,421.764952500283,0.0433735939974073,0.0635714451180623,0.415875833154699,0.382196932292451,0.0949821954373801
20.497870236828,19.1780234846086,28.1089497445771,17.512142862976,166.373188401312,183.885331264288,168.995424807092,0,41.9988562017731,442.166585502339,422.98856201773,0.0433728465999319,0.063570949651573,0.415873422582076,0.382198543146581,0.0949842380198376
20.512921756768,19.2430998850389,28.2037869942591,17.5748142648585,166.931141241487,184.505955506346,169.567794000484,0,42.141948500121,443.662584886249,424.41948500121,0.0433732763153167,0.0635703526847781,0.415869991727275,0.382199896445989,0.0949864828266414
